Datum,NieuwOpgenomenBewezen
2020-02-27,1
2020-02-28,0
2020-02-29,0
2020-03-01,2
2020-03-02,0
2020-03-03,1
2020-03-04,3
2020-03-05,1
2020-03-06,3
2020-03-07,3
2020-03-08,6
2020-03-09,5
2020-03-10,9
2020-03-11,8
2020-03-12,23
2020-03-13,14
2020-03-14,17
2020-03-15,27
2020-03-16,32
2020-03-17,33
2020-03-18,51
2020-03-19,57
2020-03-20,82
2020-03-21,74
2020-03-22,70
2020-03-23,99
2020-03-24,108
2020-03-25,114
2020-03-26,103
2020-03-27,112
2020-03-28,99
2020-03-29,89
2020-03-30,127
2020-03-31,108
2020-04-01,71
2020-04-02,88
2020-04-03,77
2020-04-04,62
2020-04-05,71
2020-04-06,61
2020-04-07,55
2020-04-08,57
2020-04-09,52
2020-04-10,48
2020-04-11,26
2020-04-12,34
2020-04-13,44
2020-04-14,33
2020-04-15,22
2020-04-16,28
2020-04-17,25
2020-04-18,18
2020-04-19,19
2020-04-20,25
2020-04-21,20
2020-04-22,14
2020-04-23,16
2020-04-24,17
2020-04-25,14
2020-04-26,13
2020-04-27,14
2020-04-28,14
2020-04-29,12
2020-04-30,18
2020-05-01,9
2020-05-02,9
2020-05-03,10
2020-05-04,11
2020-05-05,3
2020-05-06,5
2020-05-07,9
2020-05-08,6
2020-05-09,5
2020-05-10,5
2020-05-11,7
2020-05-12,2
2020-05-13,3
2020-05-14,8
2020-05-15,3
2020-05-16,7
2020-05-17,4
2020-05-18,4
2020-05-19,1
2020-05-20,2
2020-05-21,2
2020-05-22,3
2020-05-23,3
2020-05-24,7
2020-05-25,1
2020-05-26,4
2020-05-27,3
2020-05-28,1
2020-05-29,1
2020-05-30,2
2020-05-31,3
2020-06-01,4
2020-06-02,1
2020-06-03,4
2020-06-04,5
2020-06-05,3
2020-06-06,2
2020-06-07,3
2020-06-08,0
2020-06-09,2
2020-06-10,4
2020-06-11,1
2020-06-12,3
2020-06-13,2
2020-06-14,0
2020-06-15,1
2020-06-16,2
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,2
2020-06-21,0
2020-06-22,3
2020-06-23,1
2020-06-24,1
2020-06-25,1
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,1
2020-07-01,0
2020-07-02,0
