Datum,IntensiveCare
2020-02-27,9
2020-02-28,10
2020-02-29,10
2020-03-01,11
2020-03-02,10
2020-03-03,10
2020-03-04,12
2020-03-05,14
2020-03-06,17
2020-03-07,17
2020-03-08,21
2020-03-09,22
2020-03-10,24
2020-03-11,26
2020-03-12,32
2020-03-13,35
2020-03-14,44
2020-03-15,51
2020-03-16,57
2020-03-17,60
2020-03-18,65
2020-03-19,70
2020-03-20,71
2020-03-21,70
2020-03-22,71
2020-03-23,71
2020-03-24,73
2020-03-25,74
2020-03-26,74
2020-03-27,74
2020-03-28,74
2020-03-29,74
2020-03-30,74
2020-03-31,74
2020-04-01,75
2020-04-02,75
2020-04-03,75
2020-04-04,74
2020-04-05,75
2020-04-06,75
2020-04-07,76
2020-04-08,76
2020-04-09,76
2020-04-10,75
2020-04-11,75
2020-04-12,75
2020-04-13,75
2020-04-14,76
2020-04-15,76
2020-04-16,76
2020-04-17,77
2020-04-18,76
2020-04-19,76
2020-04-20,76
2020-04-21,76
2020-04-22,77
2020-04-23,77
2020-04-24,76
2020-04-25,76
2020-04-26,76
2020-04-27,76
2020-04-28,76
2020-04-29,76
2020-04-30,76
2020-05-01,76
2020-05-02,76
2020-05-03,76
2020-05-04,76
2020-05-05,76
2020-05-06,73
2020-05-07,72
2020-05-08,72
2020-05-09,72
2020-05-10,72
2020-05-11,73
2020-05-12,71
2020-05-13,71
2020-05-14,71
2020-05-15,71
2020-05-16,70
2020-05-17,70
2020-05-18,70
2020-05-19,67
2020-05-20,66
2020-05-21,66
2020-05-22,65
2020-05-23,64
2020-05-24,64
2020-05-25,64
2020-05-26,65
2020-05-27,61
2020-05-28,60
2020-05-29,59
2020-05-30,58
2020-05-31,58
2020-06-01,59
2020-06-02,59
2020-06-03,56
2020-06-04,57
2020-06-05,55
2020-06-06,55
2020-06-07,55
2020-06-08,55
2020-06-09,54
2020-06-10,53
2020-06-11,53
2020-06-12,51
2020-06-13,49
2020-06-14,48
2020-06-15,48
2020-06-16,47
2020-06-17,44
2020-06-18,43
2020-06-19,43
2020-06-20,43
2020-06-21,41
2020-06-22,43
2020-06-23,40
2020-06-24,39
2020-06-25,37
2020-06-26,34
2020-06-27,32
2020-06-28,31
2020-06-29,31
2020-06-30,31
2020-07-01,28
2020-07-02,31
2020-07-03,30
2020-07-04,30
2020-07-05,28
2020-07-06,27
2020-07-07,26
2020-07-08,26
2020-07-09,25
2020-07-10,25
2020-07-11,23
2020-07-12,23
2020-07-13,23
2020-07-14,23
2020-07-15,23
2020-07-16,23
2020-07-17,22
2020-07-18,22
2020-07-19,22
2020-07-20,23
2020-07-21,24
2020-07-22,23
2020-07-23,21
2020-07-24,19
2020-07-25,19
2020-07-26,20
2020-07-27,21
2020-07-28,21
2020-07-29,21
2020-07-30,22
2020-07-31,24
2020-08-01,24
2020-08-02,24
2020-08-03,24
2020-08-04,26
2020-08-05,25
2020-08-06,27
2020-08-07,27
2020-08-08,28
2020-08-09,32
2020-08-10,32
2020-08-11,32
2020-08-12,30
2020-08-13,30
2020-08-14,32
2020-08-15,32
2020-08-16,33
2020-08-17,37
2020-08-18,37
2020-08-19,36
2020-08-20,39
2020-08-21,38
2020-08-22,36
2020-08-23,38
2020-08-24,39
2020-08-25,34
2020-08-26,34
2020-08-27,33
2020-08-28,34
2020-08-29,33
2020-08-30,36
2020-08-31,35
2020-09-01,36
2020-09-02,35
2020-09-03,33
2020-09-04,35
2020-09-05,34
2020-09-06,35
2020-09-07,35
2020-09-08,32
2020-09-09,32
2020-09-10,32
2020-09-11,34
2020-09-12,36
2020-09-13,37
2020-09-14,39
2020-09-15,39
2020-09-16,40
2020-09-17,41
2020-09-18,40
2020-09-19,45
2020-09-20,47
2020-09-21,49
2020-09-22,52
2020-09-23,54
2020-09-24,57
2020-09-25,58
2020-09-26,60
2020-09-27,60
2020-09-28,61
2020-09-29,63
2020-09-30,63
2020-10-01,65
2020-10-02,64
2020-10-03,68
2020-10-04,68
2020-10-05,67
2020-10-06,69
2020-10-07,69
2020-10-08,69
2020-10-09,70
2020-10-10,70
2020-10-11,69
2020-10-12,69
2020-10-13,73
2020-10-14,73
2020-10-15,73
2020-10-16,74
2020-10-17,75
2020-10-18,75
2020-10-19,76
2020-10-20,75
2020-10-21,75
2020-10-22,75
2020-10-23,75
2020-10-24,75
2020-10-25,74
2020-10-26,76
2020-10-27,77
2020-10-28,76
2020-10-29,76
2020-10-30,75
2020-10-31,76
2020-11-01,77
2020-11-02,77
2020-11-03,77
2020-11-04,76
2020-11-05,76
2020-11-06,76
2020-11-07,76
2020-11-08,76
2020-11-09,77
2020-11-10,77
2020-11-11,77
2020-11-12,77
2020-11-13,77
2020-11-14,77
2020-11-15,76
2020-11-16,76
2020-11-17,76
2020-11-18,76
2020-11-19,76
2020-11-20,76
2020-11-21,76
2020-11-22,76
2020-11-23,76
2020-11-24,76
2020-11-25,77
2020-11-26,76
2020-11-27,75
2020-11-28,75
2020-11-29,75
2020-11-30,75
2020-12-01,75
2020-12-02,75
2020-12-03,75
2020-12-04,76
2020-12-05,76
2020-12-06,76
2020-12-07,75
2020-12-08,75
2020-12-09,76
2020-12-10,76
2020-12-11,76
2020-12-12,75
2020-12-13,75
2020-12-14,75
2020-12-15,76
2020-12-16,76
2020-12-17,76
2020-12-18,77
2020-12-19,77
2020-12-20,77
2020-12-21,76
2020-12-22,76
2020-12-23,77
2020-12-24,78
2020-12-25,78
2020-12-26,78
2020-12-27,78
2020-12-28,78
2020-12-29,78
2020-12-30,78
2020-12-31,77
2021-01-01,77
2021-01-02,77
2021-01-03,77
2021-01-04,77
2021-01-05,78
2021-01-06,78
2021-01-07,78
2021-01-08,78
2021-01-09,78
2021-01-10,77
2021-01-11,78
2021-01-12,78
2021-01-13,77
2021-01-14,78
2021-01-15,78
2021-01-16,77
2021-01-17,77
2021-01-18,77
2021-01-19,77
2021-01-20,76
2021-01-21,76
2021-01-22,76
2021-01-23,77
2021-01-24,77
2021-01-25,77
2021-01-26,77
2021-01-27,78
2021-01-28,77
2021-01-29,78
2021-01-30,78
2021-01-31,78
2021-02-01,78
2021-02-02,78
2021-02-03,78
2021-02-04,78
2021-02-05,77
2021-02-06,77
2021-02-07,77
2021-02-08,78
2021-02-09,78
2021-02-10,77
2021-02-11,75
2021-02-12,75
2021-02-13,76
2021-02-14,76
2021-02-15,76
2021-02-16,78
2021-02-17,78
2021-02-18,78
2021-02-19,77
2021-02-20,77
2021-02-21,77
2021-02-22,77
2021-02-23,77
2021-02-24,77
2021-02-25,78
2021-02-26,77
2021-02-27,77
2021-02-28,77
2021-03-01,78
2021-03-02,78
2021-03-03,78
2021-03-04,78
2021-03-05,78
2021-03-06,78
2021-03-07,76
2021-03-08,77
2021-03-09,78
2021-03-10,78
2021-03-11,78
2021-03-12,78
2021-03-13,78
2021-03-14,78
2021-03-15,78
2021-03-16,78
2021-03-17,78
2021-03-18,77
2021-03-19,77
2021-03-20,78
2021-03-21,78
2021-03-22,78
2021-03-23,78
2021-03-24,78
2021-03-25,78
2021-03-26,77
2021-03-27,78
2021-03-28,78
2021-03-29,78
2021-03-30,78
2021-03-31,78
2021-04-01,78
2021-04-02,78
2021-04-03,78
2021-04-04,78
2021-04-05,78
2021-04-06,78
2021-04-07,78
2021-04-08,78
2021-04-09,78
2021-04-10,78
2021-04-11,78
2021-04-12,78
2021-04-13,78
2021-04-14,77
2021-04-15,77
2021-04-16,77
2021-04-17,77
2021-04-18,77
2021-04-19,78
2021-04-20,78
2021-04-21,78
2021-04-22,78
2021-04-23,78
2021-04-24,77
2021-04-25,78
2021-04-26,77
2021-04-27,77
2021-04-28,77
2021-04-29,77
2021-04-30,77
2021-05-01,77
2021-05-02,78
2021-05-03,78
2021-05-04,77
2021-05-05,78
2021-05-06,78
2021-05-07,78
2021-05-08,77
2021-05-09,77
2021-05-10,78
2021-05-11,78
2021-05-12,78
2021-05-13,78
